Solution_ID,Total_Cost,Cost_Change_vs_Baseline_%,Weighted_Task_Completion_%,Completion_Improvement_vs_Baseline_%,Low_Importance_Completion_%,Med_Importance_Completion_%,High_Importance_Completion_%,Min_Completion_Across_Types_%,Max_Completion_Across_Types_%,Completion_Balance_StdDev,Meets_min%_Constraint,Total_Failures,Total_Maintenance,Threshold_Low_Importance,Threshold_Med_Importance,Threshold_High_Importance
15,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.077100887612977,9.185060363027693,9.81964711326404
16,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.603842597638875,9.159724190871097,9.647966787362606
17,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.604444226397085,9.481701564826128,9.795268614673587
18,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.689536111728195,10.671864682879576,10.850710769273512
19,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.689536111728195,11.28677102269678,10.535895444518525
20,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.850187259678369,9.326893869440429,9.884373762587728
21,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.728925576361855,9.137047603075775,9.858959614723261
22,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.163987751840736,9.564240231205375,10.142832506833754
23,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.204059082610728,9.498375341875079,9.19961352265574
24,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.703048436219375,9.009355343759738,9.286282899405057
25,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.070582722473878,9.128283353770449,9.981571582094684
26,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.188309098523334,9.14063042478606,9.730247946503786
27,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.743011867590047,9.159724190871097,9.647966787362606
